// 出現時間　出現座標(x,y)　速度(vx,vy)　HP　防御力　弾発射間隔　弾タイプ 弾速度
// 初期編隊
50,100,0,0,8,20,5,30,1,10
55,100,0,0,8,20,5,30,1,10
60,100,0,0,8,20,5,30,1,10
65,100,0,0,8,20,5,30,1,10
// 第二編隊
150,380,0,0,8,20,5,30,1,10
155,380,0,0,8,20,5,30,1,10
160,380,0,0,8,20,5,30,1,10
160,380,0,0,8,20,5,30,1,10
// 第三編隊
250,0,0,4,8,20,5,30,1,8
255,0,0,4,8,20,5,20,1,10
260,0,0,4,8,20,5,30,1,8
265,0,0,4,8,20,5,20,1,10

//　第四編隊
300,480,0,-4,8,20,5,30,1,8
305,480,0,-4,8,20,5,20,1,10
310,480,0,-4,8,20,5,30,1,8
315,480,0,-4,8,20,5,20,1,10
//　第五編隊

400,100,0,0,8,20,5,30,1,10
405,100,0,0,8,20,5,20,1,15
410,100,0,0,8,20,5,10,1,8
415,100,0,0,8,20,5,20,1,15
400,380,0,0,8,20,5,10,1,8
405,380,0,0,8,20,5,20,1,10
410,380,0,0,8,20,5,30,1,15
415,380,0,0,8,20,5,20,1,10
// 第六編隊
500,0,0,4,8,20,5,30,1,10
505,0,0,4,8,20,5,20,1,15
510,0,0,4,8,20,5,10,1,8
515,0,0,4,8,20,5,20,1,15
500,480,0,-4,8,20,5,10,1,8
505,480,0,-4,8,20,5,20,1,10
510,480,0,-4,8,20,5,30,1,15
515,480,0,-4,8,20,5,20,1,10
// 第七編隊
600,0,0,4,8,20,5,30,1,10
605,480,0,-4,8,20,5,20,1,15
610,0,0,4,8,20,5,10,1,8
615,480,0,-4,8,20,5,20,1,15
620,0,0,4,8,20,5,10,1,8
625,480,0,-4,8,20,5,20,1,10
630,0,0,4,8,20,5,30,1,15
635,480,0,-4,8,20,5,20,1,10
// 第八編隊
700,0,0,4,8,20,5,30,1,10
705,480,0,-4,8,20,5,20,1,15
710,100,0,0,8,20,5,10,1,8
715,380,0,0,8,20,5,20,1,15
720,0,0,4,8,20,5,10,1,8
725,480,0,-4,8,20,5,20,1,10
730,100,0,0,8,20,5,30,1,15
735,380,0,0,8,20,5,20,1,10
// 第九編隊
800,100,0,0,8,20,5,30,1,10
805,100,0,0,8,20,5,20,1,15
810,100,0,0,8,20,5,10,1,8
815,100,0,0,8,20,5,20,1,15
800,380,640,0,-8,20,5,10,1,8
805,380,640,0,-8,20,5,20,1,10
810,380,640,0,-8,20,5,30,1,15
815,380,640,0,-8,20,5,20,1,10

// ボス
*
